CheetahProteinDescription,HumanName
"keratin, type II cytoskeletal 1b","Keratin, type II cytoskeletal 1b"
"keratin, type II cytoskeletal 79 isoform X1;keratin, type II cytoskeletal 79 isoform X2","Keratin, type II cytoskeletal 79"
"keratin, type II cytoskeletal 80 isoform X2;keratin, type II cytoskeletal 80 isoform X1","Keratin, type II cytoskeletal 80"
kynurenine--oxoglutarate transaminase 1 isoform X1;kynurenine--oxoglutarate transaminase 1 isoform X2,Kynurenine--oxoglutarate transaminase 1
laminin subunit beta-1,Laminin subunit beta-1
lysosome-associated membrane glycoprotein 1,Lysosome-associated membrane glycoprotein 1
lysosome-associated membrane glycoprotein 2 isoform X2;lysosome-associated membrane glycoprotein 2 isoform X1,Lysosome-associated membrane glycoprotein 2
Cysteinylglycine-S-conjugate dipeptidase,Cytosol aminopeptidase
LIM and SH3 domain protein 1,LIM and SH3 domain protein 1
Lipopolysaccharide-binding protein,Lipopolysaccharide-binding protein
phosphatidylcholine-sterol acyltransferase,Phosphatidylcholine-sterol acyltransferase
neutrophil gelatinase-associated lipocalin-like isoform X1;neutrophil gelatinase-associated lipocalin-like isoform X2,Neutrophil gelatinase-associated lipocalin 
neutrophil gelatinase-associated lipocalin-like,Neutrophil gelatinase-associated lipocalin 
plastin-2,Plastin-2
lymphocyte cytosolic protein 2,Lymphocyte cytosolic protein 2
LIM domain-binding protein 3 isoform X6;LIM domain-binding protein 3 isoform X1;LIM domain-binding protein 3 isoform X5;LIM domain-binding protein 3 isoform X4;LIM domain-binding protein 3 isoform X2;LIM domain-binding protein 3 isoform X3,LIM domain-binding protein 3
L-lactate dehydrogenase,L-lactate dehydrogenase A chain 
L-lactate dehydrogenase,L-lactate dehydrogenase B chain
Liver-expressed antimicrobial peptide 2,Liver-expressed antimicrobial peptide 2
leukocyte cell-derived chemotaxin-2,Leukocyte cell-derived chemotaxin-2
Galectin,Galectin-3
Galectin,Galectin-related protein
LIM and senescent cell antigen-like-containing domain protein,LIM and senescent cell antigen-like-containing domain protein 1
Hepatic triacylglycerol lipase,Hepatic triacylglycerol lipase
protein ERGIC-53 isoform X1,Protein ERGIC-53
vesicular integral-membrane protein VIP36 isoform X1,Vesicular integral-membrane protein VIP36
lamin,Prelamin-A/C [Cleaved into: Lamin-A/C
lamin-B1,Lamin-B1
leucine-rich alpha-2-glycoprotein isoform X1;leucine-rich alpha-2-glycoprotein isoform X2,Leucine-rich alpha-2-glycoprotein
LOW QUALITY PROTEIN: prolow-density lipoprotein receptor-related protein 1,Prolow-density lipoprotein receptor-related protein 1
leucine-rich repeat flightless-interacting protein 1 isoform X39 ,Leucine-rich repeat flightless-interacting protein 1 
lymphocyte-specific protein 1 isoform X1;lymphocyte-specific protein 1 isoform X2;lymphocyte-specific protein 1 isoform X3,Lymphocyte-specific protein 1
Leukotriene A(4) hydrolase,Leukotriene A-4 hydrolase
latent-transforming growth factor beta-binding protein 1 isoform X1;latent-transforming growth factor beta-binding protein 1 isoform X2;latent-transforming growth factor beta-binding protein 1 isoform X3,Latent-transforming growth factor beta-binding protein 1
latent-transforming growth factor beta-binding protein 1 isoform X4,Latent-transforming growth factor beta-binding protein 1
latent-transforming growth factor beta-binding protein 4 isoform X1;latent-transforming growth factor beta-binding protein 4 isoform X2;latent-transforming growth factor beta-binding protein 4 isoform X3,Latent-transforming growth factor beta-binding protein 4
lactotransferrin,Lactotransferrin
Lumican,Lumican
latexin,Latexin
lymphocyte antigen 6D,Lymphocyte antigen 6D
lymphocyte antigen 6 complex locus protein G6f isoform X1,Lymphocyte antigen 6 complex locus protein G6f
Tyrosine-protein kinase,Tyrosine-protein kinase Lyn
Lysozyme,Lysozyme C
Core histone macro-H2A,Core histone macro-H2A.1
"alpha-1,2-Mannosidase","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA"
Alpha-mannosidase,Alpha-mannosidase 2
Alpha-mannosidase,Lysosomal alpha-mannosidase
microtubule-associated proteins 1A/1B light chain 3B,Microtubule-associated proteins 1A/1B light chain 3B
dual specificity mitogen-activated protein kinase kinase 1 isoform X2;dual specificity mitogen-activated protein kinase kinase 1 isoform X1,Dual specificity mitogen-activated protein kinase kinase 1
dual specificity mitogen-activated protein kinase kinase 3,Dual specificity mitogen-activated protein kinase kinase 3
Mitogen-activated protein kinase,Mitogen-activated protein kinase 1
Mitogen-activated protein kinase 14,Mitogen-activated protein kinase 14
Non-specific serine/threonine protein kinase,MAP kinase-activated protein kinase 3
APC-binding protein EB1,Microtubule-associated protein RP/EB family member 1
Microtubule-associated protein RP/EB family member 2,Microtubule-associated protein RP/EB family member 2
myristoylated alanine-rich C-kinase substrate,Myristoylated alanine-rich C-kinase substrate
mannan-binding lectin serine protease 1 isoform X2,Mannan-binding lectin serine protease 1
mannan-binding lectin serine protease 1 isoform X6,Mannan-binding lectin serine protease 1 light chain
mannan-binding lectin serine protease 2 isoform X1,Mannan-binding lectin serine protease 2
Myoglobin,Myoglobin
mannose-binding protein C,Mannose-binding protein C
muscleblind-like protein 1 isoform X3;muscleblind-like protein 1 isoform X2;muscleblind-like protein 1 isoform X1;muscleblind-like protein 1 isoform X7;muscleblind-like protein 1 isoform X4;muscleblind-like protein 1 isoform X5;muscleblind-like protein 2 isoform X4;muscleblind-like protein 2 isoform X3;muscleblind-like protein 2 isoform X8;muscleblind-like protein 2 isoform X5;muscleblind-like protein 2 isoform X1;muscleblind-like protein 2 isoform X6;muscleblind-like protein 2 isoform X2;muscleblind-like protein 2 isoform X7,Muscleblind-like protein 1
Calcium uniporter protein,"Calcium uniporter protein, mitochondrial"
Malate dehydrogenase,"Malate dehydrogenase, cytoplasmic"
Malate dehydrogenase,"Malate dehydrogenase, mitochondrial"
Malic enzyme,NADP-dependent malic enzyme
microfibril-associated glycoprotein 4,Microfibril-associated glycoprotein 4
microfibrillar-associated protein 5 isoform X3;microfibrillar-associated protein 5 isoform X5;microfibrillar-associated protein 5 isoform X1;microfibrillar-associated protein 5 isoform X2,Microfibrillar-associated protein 5
Matrix Gla protein,Matrix Gla protein
microsomal glutathione S-transferase 3,Microsomal glutathione S-transferase 3
"calcium uptake protein 1, mitochondrial isoform X3","Calcium uptake protein 1, mitochondrial"
macrophage migration inhibitory factor,Macrophage migration inhibitory factor
matrix metalloproteinase-19,Matrix metalloproteinase-19
72 kDa gelatinase,72 kDa type IV collagenase
neutrophil collagenase,Neutrophil collagenase
92 kDa gelatinase,Matrix metalloproteinase-9
multimerin-1,Multimerin-1
MOB kinase activator 1B isoform X1;MOB kinase activator 1A,MOB kinase activator 1B
megakaryocyte and platelet inhibitory receptor G6b isoform X2,Megakaryocyte and platelet inhibitory receptor G6b
myeloperoxidase isoform X1;myeloperoxidase isoform X2,Myeloperoxidase
macrophage mannose receptor 1,Macrophage mannose receptor 1
moesin,Moesin
Peptide-methionine (S)-S-oxide reductase,Mitochondrial peptide methionine sulfoxide reductase
hepatocyte growth factor-like protein isoform X1,Hepatocyte growth factor-like protein
Metallothionein,Metallothionein-1E 
S-methyl-5'-thioadenosine phosphorylase,S-methyl-5'-thioadenosine phosphorylase
Cytochrome c oxidase subunit 2 (Fragment) ,Cytochrome c oxidase subunit 2 
protein LYRIC isoform X1,Protein LYRIC
"C-1-tetrahydrofolate synthase, cytoplasmic;C-1-tetrahydrofolate synthase, cytoplasmic","C-1-tetrahydrofolate synthase, cytoplasmic"
myotubularin-related protein 14 isoform X1,Myotubularin-related protein 14
metastasis suppressor protein 1 isoform X1;metastasis suppressor protein 1 isoform X6;metastasis suppressor protein 1 isoform X5;metastasis suppressor protein 1 isoform X2;metastasis suppressor protein 1 isoform X7;metastasis suppressor protein 1 isoform X3;metastasis suppressor protein 1 isoform X8;metastasis suppressor protein 1 isoform X4;metastasis suppressor protein 1 isoform X9,Protein MTSS 1
myeloid-associated differentiation marker,Myeloid-associated differentiation marker
"myosin-binding protein C, slow-type","Myosin-binding protein C, slow-type"
"myosin-binding protein C, fast-type","Myosin-binding protein C, fast-type"
myc target protein 1,Myc target protein 1
myosin-1-like isoform X1;myosin-1-like isoform X2,Myosin-1 
myosin-10 isoform X2;myosin-10 isoform X3;myosin-10 isoform X7;myosin-10 isoform X4;myosin-10 isoform X5;myosin-10 isoform X1;myosin-10 isoform X6,Myosin-10
myosin-13,Myosin-13 
myosin-2,Myosin-2 
myosin-4,Myosin-4 
myosin-9,Myosin-9
"myosin light chain 1/3, skeletal muscle isoform isoform X1","Myosin light chain 1/3, skeletal muscle isoform"
myosin regulatory light polypeptide 9;myosin regulatory light chain 12B,Myosin regulatory light chain 12B
myosin light polypeptide 6 isoform X1;myosin light polypeptide 6 isoform X2,Myosin light polypeptide 6
myosin regulatory light polypeptide 9 isoform X1,Myosin regulatory light polypeptide 9
"myosin light chain kinase, smooth muscle isoform X7","Myosin light chain kinase, smooth muscle"
"myosin regulatory light chain 2, skeletal muscle isoform","Myosin regulatory light chain 2, skeletal muscle isoform"
unconventional myosin-Ic isoform X1;unconventional myosin-Ic isoform X2,Unconventional myosin-Ic
Myocilin,Myocilin
myoferlin isoform X1,Myoferlin
myomesin-1 isoform X2;myomesin-1 isoform X1,Myomesin-1
myomesin-2 isoform X1;myomesin-2 isoform X2,Myomesin-2
myomesin-3 isoform X2;myomesin-3 isoform X1;myomesin-3 isoform X3,Myomesin-3
nucleosome assembly protein 1-like 1 isoform X4;nucleosome assembly protein 1-like 1 isoform X3;nucleosome assembly protein 1-like 1 isoform X1;nucleosome assembly protein 1-like 1 isoform X2,Nucleosome assembly protein 1-like 1
nucleosome assembly protein 1-like 4,Nucleosome assembly protein 1-like 4
alpha-soluble NSF attachment protein isoform X1,Alpha-soluble NSF attachment protein
Nicotinate phosphoribosyltransferase,Nicotinate phosphoribosyltransferase
napsin-A,Napsin-A
ATP-dependent (S)-NAD(P)H-hydrate dehydratase,ATP-dependent
neurobeachin isoform X3;neurobeachin isoform X2;neurobeachin isoform X4;neurobeachin isoform X9;neurobeachin isoform X5;neurobeachin isoform X10;neurobeachin isoform X1;neurobeachin isoform X6;neurobeachin isoform X11,Neurobeachin
neurobeachin-like protein 2 isoform X3;neurobeachin-like protein 2 isoform X4,Neurobeachin-like protein 2
neural cell adhesion molecule 1 isoform X10,Neural cell adhesion molecule 1
neutrophil cytosol factor 1 isoform X1,Neutrophil cytosol factor 1
Cytoplasmic protein,Cytoplasmic protein NCK2
nck-associated protein 1 isoform X3;nck-associated protein 1 isoform X1,Nck-associated protein 1
protein kinase C-binding protein NELL2 isoform X2;protein kinase C-binding protein NELL2 isoform X4,Protein kinase C-binding protein NELL2
nexilin isoform X2;nexilin isoform X5,Nexilin
LOW QUALITY PROTEIN: niban-like protein 1,Protein Niban 2
nidogen-1,Nidogen-1
NIF3-like protein 1,NIF3-like protein 1
protein NipSnap homolog 3A isoform X1,Protein NipSnap homolog 3A
deaminated glutathione amidase isoform X5,Deaminated glutathione amidase
NLR family member X1 isoform X2;NLR family member X1 isoform X1,NLR family member X1
Nucleoside diphosphate kinase,Nucleoside diphosphate kinase A 
Nucleoside diphosphate kinase,Nucleoside diphosphate kinase B
Nucleoside diphosphate kinase,Nucleoside diphosphate kinase 3
nicotinamide N-methyltransferase,Nicotinamide N-methyltransferase 
non-POU domain-containing octamer-binding protein,Non-POU domain-containing octamer-binding protein
Neurogenic locus notch homolog protein 1 ,Neurogenic locus notch homolog protein 1 
neurogenic locus notch homolog protein 3,Neurogenic locus notch homolog protein 3
Aminopeptidase,Puromycin-sensitive aminopeptidase
neuronal pentraxin-1,Neuronal pentraxin-1
neuronal pentraxin-2,Neuronal pentraxin-2
nuclear receptor-binding protein isoform X2,Nuclear receptor-binding protein
Neuropilin,Neuropilin-2
Vesicle-fusing ATPase,Vesicle-fusing ATPase
cytosolic purine 5'-nucleotidase isoform X3;cytosolic purine 5'-nucleotidase isoform X2,Cytosolic purine 5'-nucleotidase
5'-nucleotidase,Cytosolic 5'-nucleotidase 3A
5'-nucleotidase,7-methylguanosine phosphate-specific 5'-nucleotidase
ADP-sugar pyrophosphatase isoform X2,ADP-sugar pyrophosphatase
"ADP-ribose pyrophosphatase, mitochondrial isoform X1","ADP-ribose pyrophosphatase, mitochondrial"
nuclear transport factor 2,Nuclear transport factor 2
Out at first protein homolog,Out at first protein homolog
Oxoglutarate dehydrogenase (succinyl-transferring),2-oxoglutarate dehydrogenase complex component E1
Mimecan,Mimecan
Obg-like ATPase 1,Obg-like ATPase 1
noelin isoform X3;noelin isoform X1;noelin isoform X2,Noelin
osteomodulin,Osteomodulin
Alpha-1-acid glycoprotein,Alpha-1-acid glycoprotein 1 
osteoclast-stimulating factor 1,Osteoclast-stimulating factor 1
Succinyl-CoA:3-ketoacid-coenzyme A transferase,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial"
Protein disulfide-isomerase,Protein disulfide-isomerase
proliferation-associated protein 2G4,Proliferation-associated protein 2G4
Polyadenylate-binding protein,Polyadenylate-binding protein 1
protein-arginine deiminase type-4 isoform X2;Protein-arginine deiminase,Protein-arginine deiminase type-4
Platelet-activating factor acetylhydrolase IB subunit alpha,Platelet-activating factor acetylhydrolase IB subunit beta
platelet-activating factor acetylhydrolase IB subunit beta isoform X2;platelet-activating factor acetylhydrolase IB subunit beta isoform X1,Platelet-activating factor acetylhydrolase IB subunit alpha2
Multifunctional protein ADE2,Multifunctional protein ADE2 
Non-specific serine/threonine protein kinase,Serine/threonine-protein kinase PAK 2
peptidyl-glycine alpha-amidating monooxygenase isoform X8,Peptidyl-alpha-hydroxyglycine alpha-amidating lyase
papilin isoform X2;papilin isoform X4;papilin isoform X1,Papilin
Maillard deglycase,Parkinson disease protein 7
Multifunctional fusion protein,Protein mono-ADP-ribosyltransferase PARP6 
beta-parvin isoform X4;beta-parvin isoform X1,Beta-parvin
poly(RC)-binding protein 1,Poly(rC)-binding protein 1
poly(RC)-binding protein 2 isoform X2 ,Poly(rC)-binding protein 2 
Protein-L-isoaspartate O-methyltransferase,Protein-L-isoaspartate(D-aspartate) O-methyltransferase
procollagen C-endopeptidase enhancer 1 isoform X2,Procollagen C-endopeptidase enhancer 1
procollagen C-endopeptidase enhancer 1 isoform X1,Procollagen C-endopeptidase enhancer 1
phosphatidylcholine transfer protein isoform X1;phosphatidylcholine transfer protein isoform X2,Phosphatidylcholine transfer protein
prenylcysteine oxidase 1,Prenylcysteine oxidase 1
programmed cell death protein 10,Programmed cell death protein 10
programmed cell death 6-interacting protein isoform X4,Programmed cell death 6-interacting protein
Phosphodiesterase,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
Phosphodiesterase,"cGMP-specific 3',5'-cyclic phosphodiesterase"
Receptor protein-tyrosine kinase,Platelet-derived growth factor receptor beta
Protein disulfide-isomerase,Protein disulfide-isomerase A3
Protein disulfide-isomerase A4,Protein disulfide-isomerase A4
protein disulfide-isomerase A5 isoform X2,Protein disulfide-isomerase A5
Protein disulfide-isomerase A6,Protein disulfide-isomerase A6
PDZ and LIM domain protein 1,PDZ and LIM domain protein 1
PDZ and LIM domain protein 5 isoform X2;PDZ and LIM domain protein 5 isoform X3;PDZ and LIM domain protein 5 isoform X1,PDZ and LIM domain protein 5
PDZ and LIM domain protein 7 isoform X1;PDZ and LIM domain protein 7 isoform X2;PDZ and LIM domain protein 7 isoform X3;PDZ and LIM domain protein 7 isoform X4,PDZ and LIM domain protein 7
Pyridoxal kinase,Pyridoxal kinase
platelet endothelial aggregation receptor 1 isoform X1;platelet endothelial aggregation receptor 1 isoform X2;platelet endothelial aggregation receptor 1 isoform X3,Platelet endothelial aggregation receptor 1
phosphatidylethanolamine-binding protein 1,Phosphatidylethanolamine-binding protein 1
phosphatidylethanolamine-binding protein 4,Phosphatidylethanolamine-binding protein 4
xaa-Pro dipeptidase isoform X2,Xaa-Pro dipeptidase
C-X-C motif chemokine,Platelet factor 4 
6-phosphofructokinase,"ATP-dependent 6-phosphofructokinase, liver type"
ATP-dependent 6-phosphofructokinase,"ATP-dependent 6-phosphofructokinase, platelet type"
Profilin,Profilin-1
Phosphoglycerate mutase,Phosphoglycerate mutase 1
Phosphoglycerate mutase,Phosphoglycerate mutase 2
"serine/threonine-protein phosphatase PGAM5, mitochondrial isoform X1","Serine/threonine-protein phosphatase PGAM5, mitochondrial"
"6-phosphogluconate dehydrogenase, decarboxylating","6-phosphogluconate dehydrogenase, decarboxylating"
Phosphoglycerate kinase,Phosphoglycerate kinase 1
Peptidoglycan-recognition protein,Peptidoglycan recognition protein 1
N-acetylmuramoyl-L-alanine amidase isoform X1,N-acetylmuramoyl-L-alanine amidase
phosphoglucomutase-1 isoform X2,Phosphoglucomutase-1
phosphoglucomutase-2,Phosphopentomutase
"glucose 1,6-bisphosphate synthase","Glucose 1,6-bisphosphate synthase"
Phosphoacetylglucosamine mutase,Phosphoacetylglucosamine mutase
glycerol-3-phosphate phosphatase,Glycerol-3-phosphate phosphatase
Prohibitin,Prohibitin 1
Prohibitin,Prohibitin-2
14 kDa phosphohistidine phosphatase,14 kDa phosphohistidine phosphatase
polymeric immunoglobulin receptor,Polymeric immunoglobulin receptor
"Phosphatidylinositol-4,5-bisphosphate 3-kinase","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"
PITH domain-containing protein 1 isoform X1;PITH domain-containing protein 1 isoform X2,PITH domain-containing protein 1
phosphatidylinositol transfer protein alpha isoform,Phosphatidylinositol transfer protein alpha isoform
phosphatidylinositol transfer protein beta isoform isoform X1;phosphatidylinositol transfer protein beta isoform isoform X2,Phosphatidylinositol transfer protein beta isoform
Pyruvate kinase,Pyruvate kinase PKLR
Pyruvate kinase,Pyruvate kinase PKM 
phospholipase A1 member A isoform X2,Phospholipase A1 member A 
Platelet-activating factor acetylhydrolase,Platelet-activating factor acetylhydrolase
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2"
plectin isoform X5 ,Plectin 
pleckstrin,Pleckstrin
pleckstrin homology domain-containing family O member 2,Pleckstrin homology domain-containing family O member 2
Plasminogen,Plasminogen
Perilipin,Perilipin-3
plastin-3 isoform X2;plastin-3 isoform X1,Plastin-3
phospholipid transfer protein isoform X2,Phospholipid transfer protein
plexin domain-containing protein 1 isoform X1,Plexin domain-containing protein 1
plexin domain-containing protein 2 isoform X1;plexin domain-containing protein 2 isoform X2,Plexin domain-containing protein 2
N-fatty-acyl-amino acid synthase/hydrolase PM20D1 isoform X1;N-fatty-acyl-amino acid synthase/hydrolase PM20D1 isoform X2,N-fatty-acyl-amino acid synthase/hydrolase PM20D1
Purine nucleoside phosphorylase,Purine nucleoside phosphorylase
Paraoxonase,Serum paraoxonase/arylesterase 1
Paraoxonase,Serum paraoxonase/arylesterase 2
periostin isoform X5;periostin isoform X3,Periostin
Inorganic diphosphatase,Inorganic pyrophosphatase
Peptidyl-prolyl cis-trans isomerase,Peptidyl-prolyl cis-trans isomerase A
Peptidyl-prolyl cis-trans isomerase,Peptidyl-prolyl cis-trans isomerase B
peptidyl-prolyl cis-trans isomerase D,Peptidyl-prolyl cis-trans isomerase D
Peptidyl-prolyl cis-trans isomerase,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
Protein-serine/threonine phosphatase,Protein phosphatase 1B
protein phosphatase 1F,Protein phosphatase 1F
Serine/threonine-protein phosphatase,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
Protein phosphatase 1 regulatory subunit,Protein phosphatase 1 regulatory subunit 12A
protein phosphatase 1 regulatory subunit 7 isoform X1;protein phosphatase 1 regulatory subunit 7 isoform X3;protein phosphatase 1 regulatory subunit 7 isoform X2,Protein phosphatase 1 regulatory subunit 7
Serine/threonine-protein phosphatase,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform
serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
Serine/threonine-protein phosphatase,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform
Serine/threonine-protein phosphatase,Serine/threonine-protein phosphatase 5
serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X1;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X6;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X11;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X15;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X20;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X5;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X10;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X14;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X19;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X2;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X7;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X12;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X16;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X21;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X3;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X8;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X17;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X22;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X4;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X9;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X13;serine/threonine-protein phosphatase 6 regulatory subunit 3 isoform X18,Serine/threonine-protein phosphatase 6 regulatory subunit 3
peroxiredoxin-1,Peroxiredoxin-1
peroxiredoxin-2,Peroxiredoxin-2
"thioredoxin-dependent peroxide reductase, mitochondrial","Thioredoxin-dependent peroxide reductase, mitochondrial"
peroxiredoxin-4,Peroxiredoxin-4
Peroxiredoxin-5,"Peroxiredoxin-5, mitochondrial"
1-Cys peroxiredoxin,Peroxiredoxin-6
prolargin,Prolargin
Prolyl endopeptidase,Prolyl endopeptidase
proteoglycan 3,Proteoglycan 3
LOW QUALITY PROTEIN: proteoglycan 4,Proteoglycan 4
cAMP-dependent protein kinase,cAMP-dependent protein kinase catalytic subunit alpha
cAMP-dependent protein kinase,cAMP-dependent protein kinase catalytic subunit beta
cAMP-dependent protein kinase type I-alpha regulatory subunit,cAMP-dependent protein kinase type I-alpha regulatory subunit
cAMP-dependent protein kinase type II-alpha regulatory subunit,cAMP-dependent protein kinase type II-alpha regulatory subunit
cAMP-dependent protein kinase type II-beta regulatory subunit,cAMP-dependent protein kinase type II-beta regulatory subunit
Protein kinase C,Protein kinase C alpha type
Protein kinase C,Protein kinase C beta type
Protein kinase C,Protein kinase C delta type
cGMP-dependent protein kinase,cGMP-dependent protein kinase 1
Major prion protein,Major prion protein
vitamin K-dependent protein C isoform X3;vitamin K-dependent protein C isoform X2;vitamin K-dependent protein C isoform X4;vitamin K-dependent protein C isoform X1,Vitamin K-dependent protein C
LOW QUALITY PROTEIN: endothelial protein C receptor,Endothelial protein C receptor
Vitamin K-dependent protein S,Vitamin K-dependent protein S
cationic trypsin,Trypsin-1 
serine protease 29-like isoform X1;serine protease 29-like isoform X2,Putative serine protease 29 
Peroxiredoxin-like 2 activated in M-CSF stimulated monocytes,Peroxiredoxin-like 2A
Proteasome subunit alpha type,Proteasome subunit alpha type-1
Proteasome subunit alpha type,Proteasome subunit alpha type-2
Proteasome subunit alpha type,Proteasome subunit alpha type-3
Proteasome subunit alpha type,Proteasome subunit alpha type-4
Proteasome subunit alpha type,Proteasome subunit alpha type-5
Proteasome subunit alpha type,Proteasome subunit alpha type-6
Proteasome subunit alpha type,Proteasome subunit alpha type-7
Proteasome subunit beta,Proteasome subunit beta type-1
Proteasome subunit beta,Proteasome subunit beta type-1
Proteasome subunit beta,Proteasome subunit beta type-2
Proteasome subunit beta,Proteasome subunit beta type-3
Proteasome subunit beta,Proteasome subunit beta type-4
Proteasome subunit beta,Proteasome subunit beta type-5
Proteasome subunit beta,Proteasome subunit beta type-6
Proteasome subunit beta,Proteasome subunit beta type-7
Proteasome subunit beta,Proteasome subunit beta type-8
26S proteasome regulatory subunit 6A,26S proteasome regulatory subunit 6A
26S proteasome AAA-ATPase subunit RPT3,26S proteasome regulatory subunit 6B
26S proteasome regulatory subunit 8 isoform X1;26S proteasome regulatory subunit 8 isoform X2;26S proteasome regulatory subunit 8 isoform X3,26S proteasome regulatory subunit 8
26S proteasome regulatory subunit 10B isoform X1,26S proteasome regulatory subunit 10B
26S proteasome non-ATPase regulatory subunit 2,26S proteasome non-ATPase regulatory subunit 2
26S proteasome non-ATPase regulatory subunit 3 isoform X3,26S proteasome non-ATPase regulatory subunit 3
26S proteasome non-ATPase regulatory subunit 5,26S proteasome non-ATPase regulatory subunit 5
26S proteasome non-ATPase regulatory subunit 6,26S proteasome non-ATPase regulatory subunit 6
26S proteasome non-ATPase regulatory subunit 7,26S proteasome non-ATPase regulatory subunit 7
proteasome activator complex subunit 1,Proteasome activator complex subunit 1
proteasome activator complex subunit 2,Proteasome activator complex subunit 2
Polypyrimidine tract-binding protein 1,Polypyrimidine tract-binding protein 1
Cyclooxygenase-1,Prostaglandin G/H synthase 1
protein tyrosine phosphatase type IVA 2,Protein tyrosine phosphatase type IVA 2
Serine/threonine-protein phosphatase 2A activator,Serine/threonine-protein phosphatase 2A activator
Tyrosine-protein phosphatase non-receptor type,Tyrosine-protein phosphatase non-receptor type 1
Tyrosine-protein phosphatase non-receptor type,Tyrosine-protein phosphatase non-receptor type 11
tyrosine-protein phosphatase non-receptor type 12 isoform X1,Tyrosine-protein phosphatase non-receptor type 12
Protein-tyrosine-phosphatase,Receptor-type tyrosine-protein phosphatase C
Protein-tyrosine-phosphatase,Receptor-type tyrosine-protein phosphatase gamma
Protein-tyrosine-phosphatase,Receptor-type tyrosine-protein phosphatase eta
Protein-tyrosine-phosphatase,Receptor-type tyrosine-protein phosphatase S
pituitary tumor-transforming gene 1 protein-interacting protein,Pituitary tumor-transforming gene 1 protein-interacting protein
pentraxin-related protein PTX3,Pentraxin-related protein PTX3
apoptosis-associated speck-like protein containing a CARD,Apoptosis-associated speck-like protein containing a CARD
Pyrroline-5-carboxylate reductase,"Pyrroline-5-carboxylate reductase 1, mitochondrial"
"Alpha-1,4 glucan phosphorylase","Glycogen phosphorylase, brain form"
"Alpha-1,4 glucan phosphorylase","Glycogen phosphorylase, liver form"
"Alpha-1,4 glucan phosphorylase","Glycogen phosphorylase, muscle form"
pregnancy zone protein-like,Pregnancy zone protein 
pregnancy zone protein,Pregnancy zone protein
Nicotinate-nucleotide pyrophosphorylase [carboxylating],Nicotinate-nucleotide pyrophosphorylase [carboxylating]
Sulfhydryl oxidase,Sulfhydryl oxidase 1
ras-related protein Rab-10,Ras-related protein Rab-10
ras-related protein Rab-11B,Ras-related protein Rab-11B
Ras-related protein Rab-14,Ras-related protein Rab-14
Ras-related protein Rab-18,Ras-related protein Rab-18
ras-related protein Rab-1A,Ras-related protein Rab-1A
ras-related protein Rab-1B,Ras-related protein Rab-1B
Ras-related protein Rab-21,Ras-related protein Rab-21
Small monomeric GTPase,Ras-related protein Rab-27A
Small monomeric GTPase,Ras-related protein Rab-27B
ras-related protein Rab-2A isoform X1,Ras-related protein Rab-2A
ras-related protein Rab-37 isoform X3,Ras-related protein Rab-37
ras-related protein Rab-43 isoform X1,Ras-related protein Rab-43
