CheetahProteinDescription,HumanName
C-X-C motif chemokine,Platelet factor 4 
6-phosphofructokinase,"ATP-dependent 6-phosphofructokinase, liver type"
ATP-dependent 6-phosphofructokinase,"ATP-dependent 6-phosphofructokinase, platelet type"
Profilin,Profilin-1
Phosphoglycerate mutase,Phosphoglycerate mutase 1
Phosphoglycerate mutase,Phosphoglycerate mutase 2
"serine/threonine-protein phosphatase PGAM5, mitochondrial","Serine/threonine-protein phosphatase PGAM5, mitochondrial"
"6-phosphogluconate dehydrogenase, decarboxylating","6-phosphogluconate dehydrogenase, decarboxylating"
Phosphoglycerate kinase,Phosphoglycerate kinase 1
Peptidoglycan-recognition protein,Peptidoglycan recognition protein 1
N-acetylmuramoyl-L-alanine amidase,N-acetylmuramoyl-L-alanine amidase
phosphoglucomutase-1,Phosphoglucomutase-1
phosphoglucomutase-2,Phosphopentomutase
"glucose 1,6-bisphosphate synthase","Glucose 1,6-bisphosphate synthase"
Phosphoacetylglucosamine mutase,Phosphoacetylglucosamine mutase
glycerol-3-phosphate phosphatase,Glycerol-3-phosphate phosphatase
Prohibitin,Prohibitin 1
Prohibitin,Prohibitin-2
14 kDa phosphohistidine phosphatase,14 kDa phosphohistidine phosphatase
polymeric immunoglobulin receptor,Polymeric immunoglobulin receptor
"Phosphatidylinositol-4,5-bisphosphate 3-kinase","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"
PITH domain-containing protein 1,PITH domain-containing protein 1
phosphatidylinositol transfer protein alpha,Phosphatidylinositol transfer protein alpha isoform
phosphatidylinositol transfer protein beta,Phosphatidylinositol transfer protein beta isoform
Pyruvate kinase,Pyruvate kinase PKLR
Pyruvate kinase,Pyruvate kinase PKM 
phospholipase A1 member A,Phospholipase A1 member A 
Platelet-activating factor acetylhydrolase,Platelet-activating factor acetylhydrolase
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4"
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2"
plectin,Plectin 
pleckstrin,Pleckstrin
pleckstrin homology domain-containing family O member 2,Pleckstrin homology domain-containing family O member 2
Plasminogen,Plasminogen
Perilipin,Perilipin-3
plastin-3,Plastin-3
phospholipid transfer protein,Phospholipid transfer protein
plexin domain-containing protein 1,Plexin domain-containing protein 1
plexin domain-containing protein 2,Plexin domain-containing protein 2
N-fatty-acyl-amino acid synthase/hydrolase PM20D1,N-fatty-acyl-amino acid synthase/hydrolase PM20D1
Purine nucleoside phosphorylase,Purine nucleoside phosphorylase
Paraoxonase,Serum paraoxonase/arylesterase 1
Paraoxonase,Serum paraoxonase/arylesterase 2
periostin,Periostin
Inorganic diphosphatase,Inorganic pyrophosphatase
Peptidyl-prolyl cis-trans isomerase,Peptidyl-prolyl cis-trans isomerase A
Peptidyl-prolyl cis-trans isomerase,Peptidyl-prolyl cis-trans isomerase B
peptidyl-prolyl cis-trans isomerase D,Peptidyl-prolyl cis-trans isomerase D
Peptidyl-prolyl cis-trans isomerase,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
Protein-serine/threonine phosphatase,Protein phosphatase 1B
protein phosphatase 1F,Protein phosphatase 1F
Serine/threonine-protein phosphatase,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit
Protein phosphatase 1 regulatory subunit,Protein phosphatase 1 regulatory subunit 12A
protein phosphatase 1 regulatory subunit 7,Protein phosphatase 1 regulatory subunit 7
Serine/threonine-protein phosphatase,Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform
serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
Serine/threonine-protein phosphatase,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform
Serine/threonine-protein phosphatase,Serine/threonine-protein phosphatase 5
serine/threonine-protein phosphatase 6 regulatory subunit 3,Serine/threonine-protein phosphatase 6 regulatory subunit 3
peroxiredoxin-1,Peroxiredoxin-1
peroxiredoxin-2,Peroxiredoxin-2
"thioredoxin-dependent peroxide reductase, mitochondrial","Thioredoxin-dependent peroxide reductase, mitochondrial"
peroxiredoxin-4,Peroxiredoxin-4
Peroxiredoxin-5,"Peroxiredoxin-5, mitochondrial"
1-Cys peroxiredoxin,Peroxiredoxin-6
prolargin,Prolargin
Prolyl endopeptidase,Prolyl endopeptidase
proteoglycan 3,Proteoglycan 3
proteoglycan 4,Proteoglycan 4
cAMP-dependent protein kinase,cAMP-dependent protein kinase catalytic subunit alpha
cAMP-dependent protein kinase,cAMP-dependent protein kinase catalytic subunit beta
cAMP-dependent protein kinase type I-alpha regulatory subunit,cAMP-dependent protein kinase type I-alpha regulatory subunit
cAMP-dependent protein kinase type II-alpha regulatory subunit,cAMP-dependent protein kinase type II-alpha regulatory subunit
cAMP-dependent protein kinase type II-beta regulatory subunit,cAMP-dependent protein kinase type II-beta regulatory subunit
Protein kinase C,Protein kinase C alpha type
Protein kinase C,Protein kinase C beta type
Protein kinase C,Protein kinase C delta type
cGMP-dependent protein kinase,cGMP-dependent protein kinase 1
Major prion protein,Major prion protein
vitamin K-dependent protein C,Vitamin K-dependent protein C
endothelial protein C receptor,Endothelial protein C receptor
Vitamin K-dependent protein S,Vitamin K-dependent protein S
cationic trypsin,Trypsin-1 
serine protease 29,Putative serine protease 29 
Peroxiredoxin-like 2 activated in M-CSF stimulated monocytes,Peroxiredoxin-like 2A
Proteasome subunit alpha type,Proteasome subunit alpha type-1
Proteasome subunit alpha type,Proteasome subunit alpha type-2
Proteasome subunit alpha type,Proteasome subunit alpha type-3
Proteasome subunit alpha type,Proteasome subunit alpha type-4
Proteasome subunit alpha type,Proteasome subunit alpha type-5
Proteasome subunit alpha type,Proteasome subunit alpha type-6
Proteasome subunit alpha type,Proteasome subunit alpha type-7
Proteasome subunit beta,Proteasome subunit beta type-1
Proteasome subunit beta,Proteasome subunit beta type-1
Proteasome subunit beta,Proteasome subunit beta type-2
Proteasome subunit beta,Proteasome subunit beta type-3
Proteasome subunit beta,Proteasome subunit beta type-4
Proteasome subunit beta,Proteasome subunit beta type-5
Proteasome subunit beta,Proteasome subunit beta type-6
Proteasome subunit beta,Proteasome subunit beta type-7
Proteasome subunit beta,Proteasome subunit beta type-8
26S proteasome regulatory subunit 6A,26S proteasome regulatory subunit 6A
26S proteasome AAA-ATPase subunit RPT3,26S proteasome regulatory subunit 6B
26S proteasome regulatory subunit 8,26S proteasome regulatory subunit 8
26S proteasome regulatory subunit 10B,26S proteasome regulatory subunit 10B
26S proteasome non-ATPase regulatory subunit 2,26S proteasome non-ATPase regulatory subunit 2
26S proteasome non-ATPase regulatory subunit 3,26S proteasome non-ATPase regulatory subunit 3
26S proteasome non-ATPase regulatory subunit 5,26S proteasome non-ATPase regulatory subunit 5
26S proteasome non-ATPase regulatory subunit 6,26S proteasome non-ATPase regulatory subunit 6
26S proteasome non-ATPase regulatory subunit 7,26S proteasome non-ATPase regulatory subunit 7
proteasome activator complex subunit 1,Proteasome activator complex subunit 1
proteasome activator complex subunit 2,Proteasome activator complex subunit 2
Polypyrimidine tract-binding protein 1,Polypyrimidine tract-binding protein 1
Cyclooxygenase-1,Prostaglandin G/H synthase 1
protein tyrosine phosphatase type IVA 2,Protein tyrosine phosphatase type IVA 2
Serine/threonine-protein phosphatase 2A activator,Serine/threonine-protein phosphatase 2A activator
Tyrosine-protein phosphatase non-receptor type,Tyrosine-protein phosphatase non-receptor type 1
Tyrosine-protein phosphatase non-receptor type,Tyrosine-protein phosphatase non-receptor type 11
tyrosine-protein phosphatase non-receptor type 12,Tyrosine-protein phosphatase non-receptor type 12
Protein-tyrosine-phosphatase,Receptor-type tyrosine-protein phosphatase C
Protein-tyrosine-phosphatase,Receptor-type tyrosine-protein phosphatase gamma
Protein-tyrosine-phosphatase,Receptor-type tyrosine-protein phosphatase eta
Protein-tyrosine-phosphatase,Receptor-type tyrosine-protein phosphatase S
pituitary tumor-transforming gene 1 protein-interacting protein,Pituitary tumor-transforming gene 1 protein-interacting protein
pentraxin-related protein PTX3,Pentraxin-related protein PTX3
apoptosis-associated speck-like protein containing a CARD,Apoptosis-associated speck-like protein containing a CARD
Pyrroline-5-carboxylate reductase,"Pyrroline-5-carboxylate reductase 1, mitochondrial"
"Alpha-1,4 glucan phosphorylase","Glycogen phosphorylase, brain form"
"Alpha-1,4 glucan phosphorylase","Glycogen phosphorylase, liver form"
"Alpha-1,4 glucan phosphorylase","Glycogen phosphorylase, muscle form"
pregnancy zone protein,Pregnancy zone protein 
pregnancy zone protein,Pregnancy zone protein
Nicotinate-nucleotide pyrophosphorylase [carboxylating],Nicotinate-nucleotide pyrophosphorylase [carboxylating]
Sulfhydryl oxidase,Sulfhydryl oxidase 1
ras-related protein Rab-10,Ras-related protein Rab-10
ras-related protein Rab-11B,Ras-related protein Rab-11B
Ras-related protein Rab-14,Ras-related protein Rab-14
Ras-related protein Rab-18,Ras-related protein Rab-18
ras-related protein Rab-1A,Ras-related protein Rab-1A
ras-related protein Rab-1B,Ras-related protein Rab-1B
Ras-related protein Rab-21,Ras-related protein Rab-21
Small monomeric GTPase,Ras-related protein Rab-27A
Small monomeric GTPase,Ras-related protein Rab-27B
ras-related protein Rab-2A,Ras-related protein Rab-2A
ras-related protein Rab-37,Ras-related protein Rab-37
ras-related protein Rab-43,Ras-related protein Rab-43
ras-related protein Rab-5C,Ras-related protein Rab-5C
ras-related protein Rab-7a,Ras-related protein Rab-7a
ras-related protein Rab-8A,Ras-related protein Rab-8A
ras-related protein Rab-8B,Ras-related protein Rab-8B
ras-related C3 botulinum toxin substrate 1,Ras-related C3 botulinum toxin substrate 1
ras-related C3 botulinum toxin substrate 2,Ras-related C3 botulinum toxin substrate 2
UV excision repair protein RAD23,UV excision repair protein RAD23 homolog A
Small monomeric GTPase,Ras-related protein Ral-A
Small monomeric GTPase,Ras-related protein Ral-B
GTP-binding nuclear protein Ran,GTP-binding nuclear protein Ran
ran-specific GTPase-activating protein,Ran-specific GTPase-activating protein
ras-related protein Rap-1A,Ras-related protein Rap-1A
ras-related protein Rap-1b,Ras-related protein Rap-1b
Ras-related protein Rap-2,Ras-related protein Rap-2b
retinoic acid receptor responder protein 1,Retinoic acid receptor responder protein 1
Chemerin,Retinoic acid receptor responder protein 2
ras GTPase-activating protein 3,Ras GTPase-activating protein 3
RAS guanyl-releasing protein 2,RAS guanyl-releasing protein 2
RNA-binding protein 12,RNA-binding protein 12 
Retinol-binding protein,Retinol-binding protein 4
protein RCC2,Protein RCC2
reticulocalbin-1,Reticulocalbin-1
radixin,Radixin
Receptor expression-enhancing protein,Receptor expression-enhancing protein 2
Receptor expression-enhancing protein,Receptor expression-enhancing protein 5
lithostathine-like,Lithostathine-1-alpha 
Reelin,Reelin
DNA polymerase zeta catalytic subunit,DNA polymerase zeta catalytic subunit
regulator of G-protein signaling 10,Regulator of G-protein signaling 10
regulator of G-protein signaling 18,Regulator of G-protein signaling 18
ammonium transporter Rh type A,Ammonium transporter Rh type A
transforming protein RhoA,Transforming protein RhoA
rho-related GTP-binding protein RhoF,Rho-related GTP-binding protein RhoF
rho-related GTP-binding protein RhoG,Rho-related GTP-binding protein RhoG
ribonuclease 4,Ribonuclease 4 
ribonuclease K6,Ribonuclease K6
Ribonuclease inhibitor,Ribonuclease inhibitor
aminopeptidase B,Aminopeptidase B
Rho-associated protein kinase 2,Rho-associated protein kinase 2
Ribose-5-phosphate isomerase,Ribose-5-phosphate isomerase
60S ribosomal protein L13a,60S ribosomal protein L13a
Ribosomal protein L15,60S ribosomal protein L15 
60S ribosomal protein L18,60S ribosomal protein L18
60S ribosomal protein L3,60S ribosomal protein L3 
60S ribosomal protein L7a,60S ribosomal protein L7a
60S acidic ribosomal protein P2,60S acidic ribosomal protein P2 
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
40S ribosomal protein S12,40S ribosomal protein S12
40S ribosomal protein S13,40S ribosomal protein S13
40S ribosomal protein S14,40S ribosomal protein S14
40S ribosomal protein S16,40S ribosomal protein S16
40S ribosomal protein S2,40S ribosomal protein S2
40S ribosomal protein S20,40S ribosomal protein S20
40S ribosomal protein S24,40S ribosomal protein S24
40S ribosomal protein S26,40S ribosomal protein S26
40S ribosomal protein S28,40S ribosomal protein S28 
40S ribosomal protein S29,40S ribosomal protein S29 
40S ribosomal protein S3,40S ribosomal protein S3
40S ribosomal protein S4,"40S ribosomal protein S4, X isoform"
40S ribosomal protein S7,40S ribosomal protein S7
40S ribosomal protein SA,40S ribosomal protein SA
Ras-related GTP-binding protein,Ras-related GTP-binding protein D
ras suppressor protein 1,Ras suppressor protein 1
Reticulon,Reticulon-3
Reticulon,Reticulon-4
RUN and FYVE domain-containing protein 1,RUN and FYVE domain-containing protein 1
Protein S100,Protein S100-A11
protein S100-A12,Protein S100-A12 
protein S100-A14,Protein S100-A14
Protein S100,Protein S100-A16 
Protein S100,Protein S100-A4
Protein S100,Protein S100-A8
Protein S100,Protein S100-A9
Serum amyloid A protein,Serum amyloid A-1 protein 
Serum amyloid A protein,Serum amyloid A-1 protein 
Serum amyloid A protein,Serum amyloid A-1 protein
phosphatidylinositide phosphatase SAC1,Phosphatidylinositol-3-phosphatase SAC1
GTP-binding protein SAR1b,GTP-binding protein SAR1b
Seryl-tRNA synthetase,"Serine--tRNA ligase, cytoplasmic"
Ribosome maturation protein SBDS,Ribosome maturation protein SBDS
suprabasin,Suprabasin
Secretory carrier-associated membrane protein,Secretory carrier-associated membrane protein 2
Acetyl-CoA C-myristoyltransferase,Sterol carrier protein 2
serine dehydratase,Serine dehydratase-like
GATOR complex protein SEC13,Protein SEC13 homolog
protein transport protein Sec24A,Protein transport protein Sec24A
protein transport protein Sec24B,Protein transport protein Sec24B
methanethiol oxidase,Methanethiol oxidase
Selenoprotein P,Selenoprotein P
L-selectin,L-selectin
P-selectin,P-selectin
P-selectin,P-selectin
semaphorin-4B,Semaphorin-4B
Septin,Septin-2 
Septin,Septin-5 
Septin,Septin-6 
Septin,Septin-7 
plasminogen activator inhibitor 1 RNA-binding protein,Plasminogen activator inhibitor 1 RNA-binding protein
alpha-1-antitrypsin,Alpha-1-antitrypsin 
serpin A11,Serpin A11
alpha-1-antichymotrypsin,Alpha-1-antichymotrypsin
kallistatin,Kallistatin
corticosteroid-binding globulin,Corticosteroid-binding globulin
leukocyte elastase inhibitor,Leukocyte elastase inhibitor
serpin B10,Serpin B10
Serpin B5,Serpin B5
Antithrombin-III,Antithrombin-III
heparin cofactor 2,Heparin cofactor 2
plasminogen activator inhibitor 1,Plasminogen activator inhibitor 1
glia-derived nexin,Glia-derived nexin
pigment epithelium-derived factor,Pigment epithelium-derived factor
alpha-2-antiplasmin,Alpha-2-antiplasmin
plasma protease C1 inhibitor,Plasma protease C1 inhibitor
neuroserpin,Neuroserpin
14-3-3 protein sigma,14-3-3 protein sigma
Sidoreflexin,Sideroflexin-1 
SH3 domain-binding glutamic acid-rich-like protein,SH3 domain-binding glutamic acid-rich-like protein 3
Endophilin-B1,Endophilin-B1
endophilin-B2,Endophilin-B2
nucleotide exchange factor SIL1,Nucleotide exchange factor SIL1
src kinase-associated phosphoprotein 2,Src kinase-associated phosphoprotein 2
S-phase kinase-associated protein 1,S-phase kinase-associated protein 1
mitochondrial 2-oxoglutarate/malate carrier protein,Mitochondrial 2-oxoglutarate/malate carrier protein
calcium-binding mitochondrial carrier protein SCaMC-1,Calcium-binding mitochondrial carrier protein SCaMC-1 
"Phosphate carrier protein, mitochondrial","Phosphate carrier protein, mitochondrial"
ADP/ATP translocase,ADP/ATP translocase 2
ADP/ATP translocase,ADP/ATP translocase 3
"solute carrier family 2, facilitated glucose transporter member 3","Solute carrier family 2, facilitated glucose transporter member 3"
4F2 cell-surface antigen heavy chain,4F2 cell-surface antigen heavy chain
Choline transporter-like protein,Choline transporter-like protein 1
Choline transporter-like protein,Choline transporter-like protein 2
Anion exchange protein,Band 3 anion transport protein
Sodium/hydrogen exchanger,Sodium/hydrogen exchanger 1
Na(+)/H(+) exchange regulatory cofactor NHE-RF,Na(+)/H(+) exchange regulatory cofactor NHE-RF1
Sphingomyelin phosphodiesterase,Sphingomyelin phosphodiesterase
Acid sphingomyelinase-like phosphodiesterase,Acid sphingomyelinase-like phosphodiesterase 3a
Synaptosomal-associated protein,Synaptosomal-associated protein 23
Alpha-synuclein,Alpha-synuclein
Staphylococcal nuclease domain-containing protein,Staphylococcal nuclease domain-containing protein 1
Small nuclear ribonucleoprotein Sm D3,Small nuclear ribonucleoprotein Sm D3 
Sorting nexin-2,Sorting nexin-2
Sorting nexin-3,Sorting nexin-3
sorting nexin-4,Sorting nexin-4
Sorting nexin,Sorting nexin-9
Superoxide dismutase [Cu-Zn],Superoxide dismutase [Cu-Zn]
Superoxide dismutase,"Superoxide dismutase [Mn], mitochondrial"
Superoxide dismutase [Cu-Zn],Extracellular superoxide dismutase [Cu-Zn]
sortilin,Sortilin
Signal peptidase complex subunit 3,Signal peptidase complex subunit 3 
Secreted phosphoprotein 2,Secreted phosphoprotein 24
cornifin-A,Cornifin-A 
"spectrin alpha chain, erythrocytic 1","Spectrin alpha chain, erythrocytic 1"
Spectrin beta chain,"Spectrin beta chain, erythrocytic"
"sulfide:quinone oxidoreductase, mitochondrial","Sulfide:quinone oxidoreductase, mitochondrial"
Tyrosine-protein kinase,Proto-oncogene tyrosine-protein kinase Src
serglycin,Serglycin
sorcin,Sorcin
hsc70-interacting protein,Hsc70-interacting protein
"type 2 lactosamine alpha-2,3-sialyltransferase","Type 2 lactosamine alpha-2,3-sialyltransferase"
stabilin-1,Stabilin-1
Signal transducer and activator of transcription,Signal transducer and activator of transcription 1-alpha/beta
Signal transducer and activator of transcription,Signal transducer and activator of transcription 3
stanniocalcin-2,Stanniocalcin-2
Hsc70/Hsp90-organizing protein,Stress-induced-phosphoprotein 1
serine/threonine-protein kinase 24,Serine/threonine-protein kinase 24
Stathmin,Stathmin
erythrocyte band 7 integral membrane protein,Stomatin
striatin,Striatin
syntaxin-11,Syntaxin-11
syntaxin-7,Syntaxin-7
syntaxin-binding protein 2,Syntaxin-binding protein 2
"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial","Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial"
"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial","Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial"
Sulfotransferase,Sulfotransferase 1A1 
supervillin,Supervillin
Non-specific protein-tyrosine kinase,Tyrosine-protein kinase SYK
heterogeneous nuclear ribonucleoprotein Q,Heterogeneous nuclear ribonucleoprotein Q
synaptophysin-like protein 1,Synaptophysin-like protein 1
synaptotagmin-like protein 4,Synaptotagmin-like protein 4
Transgelin,Transgelin
Transgelin,Transgelin-2
Transaldolase,Transaldolase
serine/threonine-protein kinase TAO3,Serine/threonine-protein kinase TAO3
Threonyl-tRNA synthetase,"Threonine--tRNA ligase 1, cytoplasmic"
Tubulin-specific chaperone A,Tubulin-specific chaperone A
Tubulin-folding cofactor B,Tubulin-folding cofactor B
Tubulin-specific chaperone D,Tubulin-specific chaperone D
transducin beta-like protein 2,Transducin beta-like protein 2
thromboxane-A synthase,Thromboxane-A synthase
transcobalamin-2,Transcobalamin-2
CCT-alpha,T-complex protein 1 subunit alpha
Testin,Testin
Beta-1 metal-binding globulin,Serotransferrin 
Transferrin receptor protein 1,Transferrin receptor protein 1
Thyroglobulin,Thyroglobulin
Transforming growth factor beta,Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide
transforming growth factor beta-1-induced transcript 1 protein,Transforming growth factor beta-1-induced transcript 1 protein
Transforming growth factor-beta-induced protein ig-h3,Transforming growth factor-beta-induced protein ig-h3
protein-glutamine gamma-glutamyltransferase K,Protein-glutamine gamma-glutamyltransferase K
trans-Golgi network integral membrane protein 2,Trans-Golgi network integral membrane protein 2
trans-Golgi network integral membrane protein 2,Trans-Golgi network integral membrane protein 2
thrombospondin-1,Thrombospondin-1
thrombospondin-2,Thrombospondin-2
thrombospondin-4,Thrombospondin-4
thimet oligopeptidase,Thimet oligopeptidase
T-cell immunoglobulin and mucin domain-containing protein 4,T-cell immunoglobulin and mucin domain-containing protein 4
Mitochondrial import inner membrane translocase subunit TIM50,Mitochondrial import inner membrane translocase subunit TIM50
Metalloproteinase inhibitor 1,Metalloproteinase inhibitor 1
Metalloproteinase inhibitor 2,Metalloproteinase inhibitor 2
transketolase,Transketolase
talin-1,Talin-1
transmembrane emp24 domain-containing protein 2,Transmembrane emp24 domain-containing protein 2
transmembrane emp24 domain-containing protein 4,Transmembrane emp24 domain-containing protein 4
transmembrane emp24 domain-containing protein 9,Transmembrane emp24 domain-containing protein 9 
Protein kish,Protein kish-A
Cell cycle control protein 50A,Cell cycle control protein 50A
transmembrane protein 33,Transmembrane protein 33
transmembrane protein 40,Transmembrane protein 40
tropomodulin-3,Tropomodulin-3
transmembrane protease serine 13,Transmembrane protease serine 13
thioredoxin-related transmembrane protein 1,Thioredoxin-related transmembrane protein 1
tenascin,Tenascin
TRAF2 and NCK-interacting protein kinase,TRAF2 and NCK-interacting protein kinase
"troponin I, slow skeletal muscle","Troponin I, slow skeletal muscle"
"troponin I, fast skeletal muscle","Troponin I, fast skeletal muscle"
"Troponin T, fast skeletal muscle","Troponin T, fast skeletal muscle"
tenascin-X,Tenascin-X
mitochondrial import receptor subunit TOM70,Mitochondrial import receptor subunit TOM70 
Triosephosphate isomerase,Triosephosphate isomerase
tropomyosin alpha-1 chain,Tropomyosin alpha-1 chain
tropomyosin alpha-1 chain,Tropomyosin alpha-1 chain
tropomyosin alpha-3 chain,Tropomyosin alpha-3 chain
tropomyosin alpha-4 chain,Tropomyosin alpha-4 chain
Tripeptidyl-peptidase 2,Tripeptidyl-peptidase 2
trem-like transcript 1 protein,Trem-like transcript 1 protein
short transient receptor potential channel 6,Short transient receptor potential channel 6
Tetraspanin,Tetraspanin-14
tetraspanin-9,Tetraspanin-9
Tetratricopeptide repeat protein 38,Tetratricopeptide repeat protein 38
tubulin--tyrosine ligase-like protein 12,Tubulin--tyrosine ligase-like protein 12
titin,Titin
Transthyretin,Transthyretin
Tubulin alpha chain,Tubulin alpha-1B chain
Tubulin alpha chain,Tubulin alpha-1C chain 
Tubulin alpha chain,Tubulin alpha-4A chain 
Tubulin alpha chain,Tubulin alpha chain-like 3
Tubulin beta chain,Tubulin beta chain
Tubulin beta chain,Tubulin beta-1 chain
Tubulin beta chain,Tubulin beta-2A chain
Tubulin beta chain,Tubulin beta-4A chain 
Tubulin beta chain,Tubulin beta-4B chain
Elongation factor Tu,"Elongation factor Tu, mitochondrial"
twinfilin-1,Twinfilin-1
Thioredoxin,Thioredoxin
thioredoxin domain-containing protein 5,Thioredoxin domain-containing protein 5
thioredoxin-like protein 1,Thioredoxin-like protein 1
Thioredoxin-disulfide reductase,"Thioredoxin reductase 1, cytoplasmic"
Thioredoxin-disulfide reductase,"Thioredoxin reductase 2, mitochondrial"
Ubiquitin-activating enzyme E1,Ubiquitin-like modifier-activating enzyme 1
Ubiquitin A-52 residue ribosomal protein fusion product 1,Ubiquitin-60S ribosomal protein L40
E3 ubiquitin-protein ligase subunit KPC2,Ubiquitin-associated domain-containing protein 1
ubiquitin-associated and SH3 domain-containing protein B,Ubiquitin-associated and SH3 domain-containing protein B
ubiquitin-conjugating enzyme E2 D3,Ubiquitin-conjugating enzyme E2 D3
ubiquitin-conjugating enzyme E2 L3,Ubiquitin-conjugating enzyme E2 L3
ubiquitin-conjugating enzyme E2 N,Ubiquitin-conjugating enzyme E2 N
(E3-independent) E2 ubiquitin-conjugating enzyme,(E3-independent) E2 ubiquitin-conjugating enzyme
ubiquitin-conjugating enzyme E2 variant 1,Ubiquitin-conjugating enzyme E2 variant 1
Ubiquitin-fold modifier-conjugating enzyme 1,Ubiquitin-fold modifier-conjugating enzyme 1
UTP--glucose-1-phosphate uridylyltransferase,UTP--glucose-1-phosphate uridylyltransferase
Serine/threonine-protein kinase ULK3,Serine/threonine-protein kinase ULK3
Uridine 5'-monophosphate synthase,Uridine 5'-monophosphate synthase
protein unc-13 homolog D,Protein unc-13 homolog D
regulator of nonsense transcripts 1,Regulator of nonsense transcripts 1
Complex III subunit 9,Cytochrome b-c1 complex subunit 9
"cytochrome b-c1 complex subunit 1, mitochondrial","Cytochrome b-c1 complex subunit 1, mitochondrial "
"cytochrome b-c1 complex subunit 2, mitochondrial","Cytochrome b-c1 complex subunit 2, mitochondrial "
Ubiquitinyl hydrolase 1,Ubiquitin carboxyl-terminal hydrolase 1
Ubiquitin carboxyl-terminal hydrolase,Ubiquitin carboxyl-terminal hydrolase 14
Ubiquitin carboxyl-terminal hydrolase,Ubiquitin carboxyl-terminal hydrolase 5
vesicle-associated membrane protein 7,Vesicle-associated membrane protein 7
vesicle-associated membrane protein-associated protein A,Vesicle-associated membrane protein-associated protein A
vasorin,Vasorin
vasodilator-stimulated phosphoprotein,Vasodilator-stimulated phosphoprotein
vasodilator-stimulated phosphoprotein,Vasodilator-stimulated phosphoprotein
synaptic vesicle membrane protein VAT-1 homolog,Synaptic vesicle membrane protein VAT-1 homolog
Prefoldin subunit 3,Prefoldin subunit 3
vascular cell adhesion protein 1,Vascular cell adhesion protein 1
Metavinculin,Vinculin
15S Mg(2+)-ATPase p97 subunit,Transitional endoplasmic reticulum ATPase
Voltage-dependent anion-selective channel protein 1,Voltage-dependent anion-selective channel protein 1
Voltage-dependent anion-selective channel protein 2,Voltage-dependent anion-selective channel protein 2
Voltage-dependent anion-selective channel protein 3,Voltage-dependent anion-selective channel protein 3
Vimentin,Vimentin
vascular non-inflammatory molecule 3,vascular non-inflammatory molecule 3 
immunoglobulin iota chain,Immunoglobulin iota chain 
vacuolar protein sorting-associated protein 13C,Intermembrane lipid transfer protein VPS13C
vacuolar protein sorting-associated protein 26A,Vacuolar protein sorting-associated protein 26A
vacuolar protein sorting-associated protein 26B,Vacuolar protein sorting-associated protein 26B
Vacuolar protein sorting-associated protein 29,Vacuolar protein sorting-associated protein 29
Vacuolar protein sorting-associated protein 35,Vacuolar protein sorting-associated protein 35
Vesicle-fusing ATPase,Vacuolar protein sorting-associated protein 4B
vitronectin,Vitronectin
von Willebrand factor C and EGF domain-containing protein,von Willebrand factor C and EGF domain-containing protein
von Willebrand factor,von Willebrand factor
"Tryptophan--tRNA ligase, cytoplasmic","Tryptophan--tRNA ligase, cytoplasmic"
wiskott-Aldrich syndrome protein,Wiskott-Aldrich syndrome protein
Wiskott-Aldrich syndrome protein family member,Wiskott-Aldrich syndrome protein family member 3
WW domain-binding protein 2,WW domain-binding protein 2
WD repeat-containing protein 1,WD repeat-containing protein 1
WD repeat-containing protein 13,WD repeat-containing protein 13
"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2","WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2"
skin-specific protein 32,Skin-specific protein 32 
xaa-Pro aminopeptidase 1,Xaa-Pro aminopeptidase 1 
exportin-1,Exportin-1
Tyrosine--tRNA ligase,"Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed"
synaptobrevin homolog YKT6,Synaptobrevin homolog YKT6
14-3-3 protein beta/alpha,14-3-3 protein beta/alpha
14-3-3 protein epsilon,14-3-3 protein epsilon
14-3-3 protein gamma,14-3-3 protein gamma
14-3-3 protein eta,14-3-3 protein eta
